|      PALABRA       |      FRECUENCIA      |
|the                 |                    53|
|a                   |                    32|
|vocaloid            |                    28|
|and                 |                    27|
|miku                |                    26|
|wa                  |                    23|
|to                  |                    20|
|of                  |                    19|
|hatsune             |                    15|
|vocal               |                    13|
|for                 |                    12|
|be                  |                    11|
|released            |                    11|
|on                  |                    10|
|first               |                    10|
|voice               |                     9|
|in                  |                     9|
|by                  |                     8|
|it                  |                     8|
|an                  |                     8|
|crypton             |                     7|
|engine              |                     7|
|release             |                     7|
|append              |                     7|
|developed           |                     6|
|future              |                     6|
|japanese            |                     6|
|cv                  |                     5|
|voicebank           |                     5|
|with                |                     5|
|use                 |                     5|
|yamaha              |                     5|
|she                 |                     5|
|english             |                     5|
|new                 |                     5|
|software            |                     4|
|media               |                     4|
|character           |                     4|
|also                |                     4|
|from                |                     4|
|series              |                     4|
|had                 |                     4|
|august              |                     4|
|were                |                     4|
|system              |                     4|
|evec                |                     4|
|codenamed           |                     3|
|at                  |                     3|
|name                |                     3|
|along               |                     3|
|her                 |                     3|
|kagamine            |                     3|
|called              |                     3|
|later               |                     3|
|sample              |                     3|
|tone                |                     3|
|all                 |                     3|
|into                |                     3|
|library             |                     3|
|v                   |                     3|
|i                   |                     2|
|official            |                     2|
|ha                  |                     2|
|been                |                     2|
|virtual             |                     2|
|live                |                     2|
|projection          |                     2|
|corporation         |                     2|
|singing             |                     2|
|piapro              |                     2|
|studio              |                     2|
|synthesizer         |                     2|
|editor              |                     2|
|sold                |                     2|
|using               |                     2|
|version             |                     2|
|actres              |                     2|
|saki                |                     2|
|fujita              |                     2|
|sound               |                     2|
|which               |                     2|
|abbreviated         |                     2|
|rinlen              |                     2|
|megurine            |                     2|
|luka                |                     2|
|can                 |                     2|
|they                |                     2|
|meiko               |                     2|
|kaito               |                     2|
|included            |                     2|
|built               |                     2|
|created             |                     2|
|pitch               |                     2|
|that                |                     2|
|where               |                     2|
|song                |                     2|
|are                 |                     2|
|company             |                     2|
|their               |                     2|
|making              |                     2|
|april               |                     2|
|different           |                     2|
|timbre              |                     2|
|soft                |                     2|
|quality             |                     2|
|vivid               |                     2|
|light               |                     2|
|such                |                     2|
|program             |                     2|
|thi                 |                     2|
|recorded            |                     2|
|however             |                     2|
|not                 |                     2|
|would               |                     2|
|independent         |                     2|
|being               |                     2|
|due                 |                     2|
|animation           |                     2|
|could               |                     2|
|september           |                     2|
|update              |                     2|
|imported            |                     2|
|officially          |                     1|
